plateifu,Predicted_Class,Actual_Class,Type,MangaID,log_SFR_Ha,log_Mass,log_SFR_ssp,log_NII_Ha_cen,log_OIII_Hb_cen,log_SII_Ha_cen,log_OII_Hb_cen,EW_Ha_cen,ZH_LW_Re_fit,alpha_ZH_LW_Re_fit,ZH_MW_Re_fit,alpha_ZH_MW_Re_fit,Age_LW_Re_fit,alpha_Age_LW_Re_fit,Age_MW_Re_fit,alpha_Age_MW_Re_fit,vel_sigma_Re,log_SFR_SF,log_SFR_D_C,log_OI_Ha_cen,Ha_Hb_cen,log_NII_Ha_Re,log_OIII_Hb_Re,log_SII_Ha_Re,log_OII_Hb_Re,log_OI_Ha_Re,EW_Ha_Re,Ha_Hb_Re,log_NII_Ha_ALL,log_OIII_Hb_ALL,log_SII_Ha_ALL,log_OII_Hb_ALL,log_OI_Ha_ALL,EW_Ha_ALL,Ha_Hb_ALL,Sigma_Mass_cen,Sigma_Mass_Re,Sigma_Mass_ALL,log_Mass_gas_Av_gas_OH,log_Mass_gas_Av_ssp_OH,vel_ssp_2,vel_Ha_2,vel_ssp_1,vel_Ha_1,log_SFR_ssp_100Myr,log_SFR_ssp_10Myr,vel_disp_Ha_cen,vel_disp_ssp_cen,vel_disp_Ha_1Re,vel_disp_ssp_1Re,log_Mass_in_Re,ML_int,ML_avg,F_Ha_cen,R50_kpc_V,R50_kpc_Mass,log_Mass_corr_in_R50_V,log_Mass_gas_Av_gas_log_log,Av_gas_Re,Av_ssp_Re,Lambda_Re,nsa_redshift,nsa_mstar,flux_[OII]3726.03_Re_fit,flux_[OII]3726.03_alpha_fit,flux_[OII]3728.82_Re_fit,flux_[OII]3728.82_alpha_fit,flux_HI3734.37_Re_fit,flux_HI3734.37_alpha_fit,flux_HI3797.9_Re_fit,flux_HI3797.9_alpha_fit,flux_HeI3888.65_Re_fit,flux_HeI3888.65_alpha_fit,flux_HI3889.05_Re_fit,flux_HI3889.05_alpha_fit,flux_HeI3964.73_Re_fit,flux_HeI3964.73_alpha_fit,flux_[NeIII]3967.46_Re_fit,flux_[NeIII]3967.46_alpha_fit,flux_CaII3968.47_Re_fit,flux_CaII3968.47_alpha_fit,flux_Hepsilon3970.07_Re_fit,flux_Hepsilon3970.07_alpha_fit,flux_Hdelta4101.77_Re_fit,flux_Hdelta4101.77_alpha_fit,flux_Hgamma4340.49_Re_fit,flux_Hgamma4340.49_alpha_fit,flux_Hbeta4861.36_Re_fit,flux_Hbeta4861.36_alpha_fit,flux_[OIII]4958.91_Re_fit,flux_[OIII]4958.91_alpha_fit,flux_[OIII]5006.84_Re_fit,flux_[OIII]5006.84_alpha_fit,flux_HeI5015.68_Re_fit,flux_HeI5015.68_alpha_fit,flux_[NI]5197.9_Re_fit,flux_[NI]5197.9_alpha_fit,flux_[NI]5200.26_Re_fit,flux_[NI]5200.26_alpha_fit,flux_HeI5876.0_Re_fit,flux_HeI5876.0_alpha_fit,flux_NaI5889.95_Re_fit,flux_NaI5889.95_alpha_fit,flux_NaI5895.92_Re_fit,flux_NaI5895.92_alpha_fit,flux_[OI]6300.3_Re_fit,flux_[OI]6300.3_alpha_fit,flux_[NII]6548.05_Re_fit,flux_[NII]6548.05_alpha_fit,flux_Halpha6562.85_Re_fit,flux_Halpha6562.85_alpha_fit,flux_[NII]6583.45_Re_fit,flux_[NII]6583.45_alpha_fit,flux_[SII]6716.44_Re_fit,flux_[SII]6716.44_alpha_fit,flux_[SII]6730.82_Re_fit,flux_[SII]6730.82_alpha_fit,flux_[ArIII]7135.8_Re_fit,flux_[ArIII]7135.8_alpha_fit,flux_HI9014.91_Re_fit,flux_HI9014.91_alpha_fit,flux_[SIII]9069.0_Re_fit,flux_[SIII]9069.0_alpha_fit,flux_[FeII]9470.93_Re_fit,flux_[FeII]9470.93_alpha_fit,flux_[SIII]9531.1_Re_fit,flux_[SIII]9531.1_alpha_fit,Ne_Oster_S_Re_fit,Ne_Oster_S_alpha_fit,Hd_Re_fit,Hd_alpha_fit,Hb_Re_fit,Hb_alpha_fit,Mgb_Re_fit,Mgb_alpha_fit,Fe5270_Re_fit,Fe5270_alpha_fit,Fe5335_Re_fit,Fe5335_alpha_fit,D4000_Re_fit1,D4000_alpha_fit,Hdmod_Re_fit,Hdmod_alpha_fit,Hg_Re_fit,Hg_alpha_fit,u_band_mag,u_band_abs_mag,g_band_mag,g_band_abs_mag,r_band_mag,r_band_abs_mag,i_band_mag,i_band_abs_mag,B_band_mag,B_band_abs_mag,V_band_mag,V_band_abs_mag,RJ_band_mag,RJ_band_abs_mag,R50,R90,C,B-V,B-R,log_Mass_phot,V-band_SB_at_Re,V-band_SB_at_R_50,u-g,g-r,r-i,i-z
8143_1901,S,E,E,1-43629,-0.557683877,10.23444062,-1.22947447,-0.159832323,0.172291543,-0.624086479,0.19690264,-10.10500345,-0.050228225,0.014107482,-0.058751176,0.050665859,9.251634955,0.08326935,9.461808489,0.029505238,0.13439174,-0.639629539,-0.662538769,-1.881473059,3.696663138,-0.178716486,0.101336974,-0.570333796,0.187596907,-1.719399449,-6.511167121,3.786135961,-0.219616458,-0.022727008,-0.492791073,0.338599537,-1.475684882,-4.270722727,5.553193558,,2.714000855,2.379465743,8.144491628,7.903127507,21.95028236,1.077460067,22.25588208,12.95200385,-1.403070232,-1.219565864,0.0,0.0,81.39535077,75.67124844,9.5931534,2.809637596,4.688924695,1.524049807,1.552773012,1.770951777,9.699671505,9.477210309,0.744649176,0.220613852,0.604441455,0.0318057,10.10205,0.332004982,-0.38386283,0.334032136,-0.384246416,0.25027181,-0.286542573,0.029121744,-0.029967562,0.029737741,-0.037911547,0.030117359,-0.040436244,0.051317698,-0.062255453,0.064515659,-0.076320399,0.06303804,-0.078078551,0.05721118,-0.070581296,0.0503542,-0.057089259,0.111140287,-0.133035149,0.21988414,-0.276487813,0.091459098,-0.128553663,0.301197316,-0.404065046,0.137820262,-0.182250927,0.001751157,-0.006353132,0.001828768,-0.002932025,0.010482219,-0.017766929,0.045135669,-0.034483309,0.076153972,-0.063232289,0.033863646,-0.0444641,0.184709651,-0.258669208,0.820021351,-1.099921721,0.550781418,-0.74908283,0.103821176,-0.121725722,0.09512412,-0.128243254,0.02559622,-0.032112347,0.010668751,0.002789448,0.066623551,-0.112387196,0.001560549,0.001826703,0.270836761,-0.39143254,2.746773127,-0.0208009,3.804477467,-1.398391954,3.301813275,-0.240161907,2.483830003,0.029460071,2.260352302,0.229217132,2.158102942,-0.07789573,1.476782412,0.052017222,2.524484359,-1.638842244,2.185601686,-1.272135252,17.46251202,-18.17523223,16.04725718,-19.59048707,15.53239593,-20.10534832,15.26258229,-20.37516196,16.29056708,-19.34717717,15.75254232,-19.88520192,15.46164494,-20.17609931,3.432243283,7.754327417,2.259259259,0.538024755,0.828922136,10.1797949,21.3203129,21.36299378,1.3976,0.6098,0.2751,0.2058
8243_9102,S,E,E,1-605419,0.416495035,11.60676498,0.598778998,0.222203315,0.22789001,-0.133932304,0.513584583,-2.565425109,0.058039996,-0.086895705,0.13118782,-0.092731207,9.517889522,0.12499212,9.782690126,-0.017271215,0.255421062,0.404773078,0.173506203,-1.365364888,4.620073642,-0.238512303,-0.192157999,-0.578284996,0.104084445,-1.005559362,-2.650517769,4.748698683,-0.246433779,-0.199039103,-0.552317339,0.085543791,-1.023590197,-1.36557694,4.294300248,3.744249879,2.334729191,2.058460331,,,0.0,0.0,126.9465387,182.0171582,0.294976669,0.319771445,179.4371678,209.7883359,132.8353373,191.3438515,11.13242648,7.690745892,9.170983955,0.748983699,4.05825124,4.05825124,10.9425576,10.44810935,0.739071572,0.212278374,0.781847786,0.0587489,11.50001249,0.042610065,-0.068579233,0.044387481,-0.071000248,0.037765033,-0.069029309,0.004007837,-0.009575078,0.019513606,-0.032953304,0.019402385,-0.033302234,0.00646592,-0.010545594,0.007568664,-0.012537514,0.008585115,-0.013738473,0.008864328,-0.014287111,0.014647468,-0.026255347,0.015140682,-0.024036773,0.039736947,-0.063444566,0.008231993,-0.014616705,0.023197421,-0.035167946,0.015336314,-0.029424216,0.007192844,-0.013058995,0.008806545,-0.015161735,-0.003486118,0.006149765,0.005838472,-0.002291645,0.009644847,-0.010521803,0.005887504,-0.010818905,0.024285121,-0.037060644,0.172822502,-0.283053282,0.120268128,-0.211840176,0.027911836,-0.047596646,0.022788461,-0.039342802,0.000738524,-0.002406131,-0.004861917,0.006762855,0.009400138,-0.017975302,-0.004104511,-0.010136258,0.002336056,-0.000566575,2.865720868,0.359824228,0.115502213,-0.015193352,2.327306388,-0.041379575,3.734325951,-0.132751033,5.352813738,2.188724768,2.324701656,-0.309279302,1.647156789,0.057600955,0.642146524,1.133429674,-1.467364191,-0.945245556,16.80767439,-20.23341618,15.2364119,-21.80467867,14.57933624,-22.46175433,14.18070894,-22.86038163,15.55629164,-21.48479893,14.86605503,-22.17503554,14.48301665,-22.55807392,6.221408304,15.79280569,2.538461538,0.690236605,1.073274992,11.37250727,21.26414076,21.93949678,1.5358,0.7457,0.4173,0.2344
9862_6101,E,S,S,1-456372,-3.439368009,10.37551883,-1.638398923,,,,,-0.12579332,-0.071971338,-0.14407458,-0.015013821,-0.16623242,9.685818876,0.001561772,9.788203535,0.058740231,0.250495657,-3.576108827,-4.255064543,,28.28059363,-0.012643588,-0.202580106,-0.239529317,,-1.029105689,-0.379693515,2.98440892,-0.012643588,-0.534797559,-0.310664802,0.117707882,-0.495177756,-0.245343775,2.933557225,3.264875271,3.057940923,2.495167566,,,0.0,0.0,101.6360187,293.7933407,-1.936302045,-1.194602686,0.0,120.0013428,0.0,122.5756059,9.758058055,5.123132963,6.140910004,0.0,1.217489278,1.217489278,9.818876941,,,0.132037785,0.479479791,0.0204103,10.14481901,0.04108773,-0.040566436,0.036594564,-0.038968724,0.027665033,-0.02820751,0.009930865,-0.021099363,0.000243935,0.005778199,0.002431551,0.001351851,-0.024639058,0.050406432,-0.026490143,0.049982366,-0.031120002,0.054897293,-0.029508057,0.051565766,-0.018341569,0.027041434,0.002080141,0.009905005,0.028280106,-0.017666396,-0.017784161,0.009557103,0.034888876,-0.037575584,0.036718084,-0.039357602,0.004642293,-0.003648098,0.002559302,0.000647665,-0.014827047,0.032965854,-0.009645405,0.037816963,-0.002252564,0.036298593,-0.003382052,0.003221104,0.02600893,-0.038211226,0.045142537,-0.049184775,0.014903532,-0.005814976,0.005414085,-0.006762619,0.007332507,-0.003069578,0.006031742,-0.003280976,0.00923787,0.002913337,-0.006087936,0.010197802,0.008004246,-0.016667097,-0.00287016,-0.006905432,3.049956572,0.124952797,-1.496439695,0.979431771,1.823929545,0.164179635,3.862717708,-0.607498132,2.707430103,-0.224914237,2.082378322,-0.195800199,1.747882312,-0.087678976,-1.62595604,1.07174824,-2.759538478,1.010574998,17.2037396,-17.46359856,15.52522141,-19.14211675,14.8872608,-19.78007736,14.53021587,-20.13712229,15.83773688,-18.82960127,15.15548827,-19.51184989,14.80407678,-19.86326138,3.83603661,11.1043165,2.894736842,0.682248614,1.033660105,10.25201955,21.45142108,21.22051462,1.6077,0.7176,0.3353,0.2427
12075_3702,E,S,S,1-33848,-2.222145817,10.63137874,-0.720971149,,-0.430476183,,0.225817722,-0.026457069,-0.054906573,-0.097178079,-0.050141965,-0.092443422,9.742932974,0.01019894,9.83658218,0.01260324,0.388895172,-2.274941265,-2.314285761,-0.212011117,17.1479848,-0.328267992,0.04211183,,-0.511061584,,-0.103184934,2.86,-0.465904681,-0.070662736,,-0.149207958,-0.265979261,-0.204956721,4.390702669,2.99384577,2.579629409,2.232425513,,,0.0,0.0,0.0,0.0,-0.88875333,-0.892224817,0.0,73.80850983,0.0,75.56927196,9.964276705,6.966545042,7.232461385,0.001287819,2.586808606,2.586808606,10.03498625,8.499032486,,0.116052028,0.662886797,0.042386595,10.354278,0.00643855,-0.006994677,0.010065518,-0.012146938,0.00737815,-0.010839325,0.002424761,-0.00126723,0.001262671,-0.001672797,0.000581594,-0.000967095,-0.001530652,0.002252428,-0.001674356,0.001981401,-0.000214245,-0.000283607,0.001089127,-0.001776878,-0.001653193,0.005227933,0.002141911,-0.00139672,0.005122301,-0.002019128,0.000482985,0.000200279,-0.000166538,0.002074958,0.000707744,0.001011638,-0.002947048,0.003079836,-0.002554367,0.002144924,0.002618501,0.001553135,0.012047771,0.003596914,0.021975291,-0.005322633,-0.003623103,-0.002940694,-0.000468432,-0.001945606,0.001962962,0.000907383,-0.003867926,-0.001403753,0.001205415,0.002119658,-0.00132551,0.000104209,0.000308615,-0.002217587,-0.000914198,8.42e-06,0.032313906,-0.005452504,-0.012018878,0.012369027,-0.004918546,-0.008464785,3.057349998,0.116873596,-1.65681341,0.566261215,2.046529163,0.415219577,3.461299138,-0.390441433,3.1072743,-0.142478654,2.25140297,6.417067111,1.804258672,-0.060539631,-2.539834476,0.388099278,-2.752310334,0.700645451,18.4447166,-17.86917932,16.68550034,-19.62839558,16.02458576,-20.28931016,15.71650505,-20.59739087,16.98884211,-19.32505381,16.3032372,-20.01065872,15.9453563,-20.36853961,3.948201423,9.541486773,2.416666667,0.685604903,1.043485802,10.46481917,22.16275108,22.17929656,1.543508,0.709646,0.325871,0.285698
8547_3703,S,E,E,1-245869,-0.224971939,11.03926694,-0.073917181,-0.313061374,-0.420938705,-0.784327599,-0.030208428,-3.772807063,-0.118295589,-0.206166436,-0.078838751,-0.249087607,9.511912592,0.101228309,9.822841688,0.074731307,0.177477309,-0.225762414,-0.404175577,-1.752780544,3.843366933,-0.453076396,-0.667023004,-0.57795781,-0.155421338,-1.330572705,-4.619657005,3.571348963,-0.4142538,-0.505489367,-0.554678916,-0.103514194,-1.191670614,-1.84675454,3.323086264,3.431575434,2.550654468,2.287276886,8.187293478,7.810875786,74.75822996,0.0,29.16048416,55.55665856,-0.229023968,0.002847555,74.61661996,124.2963409,67.47530821,106.6234347,10.5854999,6.28876938,7.824459861,0.826143088,2.541390998,2.541390998,10.44467695,9.685414733,0.335375528,0.256864861,0.704827081,0.0433401,10.99276355,0.048802977,-0.072668006,0.050571545,-0.075045849,0.040576796,-0.060768272,0.009484656,-0.015102976,0.026363419,-0.038185842,0.026748046,-0.038781363,0.009169157,-0.020660725,0.015567905,-0.02935467,0.015745697,-0.028340337,0.017015769,-0.028643482,0.018361305,-0.02401328,0.028797716,-0.04052606,0.070478345,-0.102875229,0.010593342,-0.016611632,0.022958759,-0.035108303,0.008524522,-0.014509856,0.003796449,-0.004937959,0.005029482,-0.007386766,-0.000638407,-0.001719808,0.019774586,-0.027622765,0.026845358,-0.037902371,0.006626554,-0.009274849,0.024899974,-0.036869794,0.256707266,-0.397406097,0.108597656,-0.17283473,0.037128618,-0.053144901,0.015183827,-0.01720295,0.005321077,-0.009720494,0.004958296,-0.007586053,0.005513327,-0.014392758,0.00101305,0.002234937,-0.124743683,0.032622602,2.561862492,0.714444339,1.243371919,-0.376465579,2.449271592,-0.011556185,3.270257837,0.096323827,2.775717316,-0.326329632,3.002829972,1.010927138,1.590533114,0.040387156,0.117487224,-1.232097241,-0.649344327,-0.039138199,17.1508499,-19.21560267,15.62605399,-20.74039858,15.01203795,-21.35441463,14.6522967,-21.71415587,15.91561335,-20.45083923,15.27366953,-21.09278305,14.91887822,-21.44757435,4.396860676,10.67809021,2.428571429,0.64194382,0.996735126,10.84609967,21.29941201,21.61519522,1.3368,0.7281,0.3716,0.2472
9873_9101,S,E,E,1-456614,-2.639068924,10.42401395,-0.724865805,0.135234971,0.061879647,0.486322934,-0.624297661,-0.21373801,-0.16781671,-0.212228247,-0.137193834,-0.22070309,9.708714537,-0.037534194,9.851528677,-0.022470147,0.221467877,-3.055859873,-3.820974944,0.028258171,2.048993967,-0.52985628,-0.359706434,-0.105342264,,-0.374439784,-0.655099576,2.871335713,-0.497817418,-0.343020223,0.009712755,-0.150232057,-0.38568956,-0.376356102,2.909344008,3.303334155,2.66855528,2.356163356,,,0.0,0.0,4.040023429,499.9606328,-0.814657163,-0.483994657,0.0,72.93835704,20.8943763,70.38991904,9.853556538,7.423274192,8.098590071,0.010320298,1.423982801,1.036148208,9.883091493,,,0.331844911,0.420190201,0.0259118,9.971256887,-0.00026349,-0.002136103,-0.000494977,0.000221404,-0.002246787,0.006795233,0.011979218,-0.016569835,0.020121943,-0.022885389,0.019650385,-0.022166952,-0.004773113,0.00760079,-0.005020635,0.006115477,-0.005440568,0.006225375,-0.003793698,0.004709269,0.010095335,-0.011590701,0.016456899,-0.018840379,0.01445387,-0.014105794,0.002338687,-0.006723625,0.004554129,-0.007433386,0.004969598,-0.006436475,0.000339712,0.000951357,0.000951449,0.000759787,-0.010127868,0.011653938,0.032892866,-0.046738938,0.025780264,-0.025810654,-0.004127139,0.005616855,0.000852317,-0.001266548,0.017481272,-0.015682965,0.000966495,-0.000335869,0.002832673,-0.000123657,-0.001361708,-0.00062888,0.00308796,-0.002867411,0.006860906,-0.007452596,0.008455244,-0.010831599,-0.003342225,0.011528028,-0.002340643,0.006859843,3.053992495,-0.081832724,-0.515855917,1.332579489,2.13602286,0.451879738,3.120251781,-0.463326661,2.869906133,-0.313790329,2.420127056,-0.372875792,1.679644745,-0.121054097,-1.350335899,1.294782051,-2.03123806,0.851983807,17.88246634,-17.27866884,16.31807095,-18.84306423,15.66230193,-19.49883325,15.33502308,-19.82611209,16.61408372,-18.54705145,15.95491366,-19.20622152,15.57376723,-19.58736795,4.067843891,11.48567687,2.823529412,0.659170063,1.040316494,10.08846758,21.98878883,22.08986674,1.4915,0.7037,0.3541,0.2595
12769_3703,S,E,E,1-31432,-0.224552741,11.35527834,-0.47376008,-0.024754869,0.498850896,0.010070655,0.925064989,-1.785584148,0.067782943,-0.192713461,0.148704228,-0.147037081,9.76272357,0.027505682,9.933454823,0.02326607,0.173481465,-0.273917679,-0.63266957,-1.101211959,3.911532511,-0.35112144,0.006449702,-0.346070872,0.519229992,-0.962337442,-3.341748177,4.30205414,-0.311283587,0.061702409,-0.289543834,0.590397216,-0.952522255,-1.719993619,4.063152296,3.694121026,2.810942793,2.426160677,8.658530367,8.01805282,203.5761253,359.9914042,109.9312383,204.9682116,-0.860425833,-0.484757724,182.3186734,253.2780029,147.6685885,256.938485,10.81583411,9.144795353,11.82607165,0.587631329,3.205942993,2.648057899,10.74345586,9.411519959,0.057306096,0.169479623,0.325406426,0.04244858,11.21152992,0.286409782,-0.419127305,0.28964954,-0.424645066,0.280197125,-0.423900447,0.0067201,-0.007751535,0.016441188,-0.031571534,0.018064255,-0.035080951,0.009307278,-0.010920835,0.00735957,-0.006292677,0.006794309,-0.00509971,0.005786325,-0.002629187,-0.010955471,0.004143192,0.010273546,-0.006186663,0.059592543,-0.075930947,0.006087052,-0.006555184,0.096588254,-0.144131235,0.089094821,-0.144587803,0.023532968,-0.035442081,0.025125614,-0.035764873,-0.003107634,0.00279263,-0.051486145,0.090685678,-0.047864774,0.093188424,0.035836135,-0.067671202,0.06873083,-0.118193578,0.211331919,-0.3025028,0.158561383,-0.241276557,0.087228512,-0.139780058,0.083565563,-0.138217613,0.01002933,-0.010443786,-0.014789543,0.026737608,0.022214809,-0.055451646,0.009483434,-0.00765538,0.05434774,-0.084614851,2.848650909,0.159736406,-1.697972729,0.741001132,1.612563295,0.48369376,4.225789201,-0.069736781,3.260318754,0.265159125,3.008701945,0.707130228,1.8487127,-0.127660691,-1.907031768,0.895450121,-2.49340327,0.836955167,17.11792267,-19.19616156,15.1827678,-21.13131643,14.49246834,-21.82161589,14.07019881,-22.24388543,15.52805058,-20.78603366,14.786001,-21.52808323,14.38126378,-21.93282046,4.710922153,10.83512095,2.3,0.742049578,1.146786801,11.1851194,21.12419693,21.30092551,1.724563,0.800778,0.405878,0.286644
8096_6102,S,E,E,1-42717,-1.064167771,9.561497355,-1.023094428,-0.507933774,-0.144290489,-0.564923602,-0.00255756,-37.23472376,-0.418371742,-0.247726002,-0.426795835,-0.20754682,9.276478813,-0.080917859,9.724898484,0.272495771,0.482453406,-1.064489813,-1.093710137,-2.493086353,3.977737156,-0.477556113,0.101992199,-0.512591464,0.245185405,-0.571983771,-2.971207745,4.160247559,-0.48996049,0.008339098,-0.497614059,0.174997885,-0.855860836,-2.70100101,3.126390041,2.72097155,1.906995043,1.74382923,,,34.68663599,208.9894056,36.65879816,86.85506539,-1.424277326,-0.665264966,60.60267995,10.49650822,62.42247384,26.23324616,9.144622908,4.614035107,5.272986833,2.169090626,1.380643794,1.628112342,9.058882601,7.949722689,,0.507349372,0.431652572,0.0155422,9.465756804,0.092004357,-0.161481136,0.094721072,-0.168267504,0.063314786,-0.112905638,0.005940332,-0.003823999,0.014808771,-0.019300424,0.015309967,-0.020106339,0.004003563,-0.007261107,0.011435648,-0.021360009,0.012002424,-0.023117673,0.012728565,-0.024059067,0.020155698,-0.035107185,0.037147477,-0.065349857,0.082621907,-0.150562713,0.017185175,-0.028895429,0.062111584,-0.110267349,0.025365224,-0.04391749,0.000341547,-0.001583523,0.000266393,-0.000799462,0.000419526,-0.004429505,0.006056246,-0.005387743,0.008826953,-0.010916143,0.004937348,-0.008508987,0.030534893,-0.058556793,0.310390121,-0.595508002,0.097935045,-0.189375746,0.051300546,-0.098028879,0.040405109,-0.0790274,0.000631833,-0.005343648,0.002311309,-0.003817956,0.027012063,-0.052841724,-0.001558401,0.002057169,0.065003679,-0.131054087,2.863216219,0.463343999,1.762393152,-1.276696106,2.732512057,0.350341047,0.965242911,-2.154084803,2.35935784,0.385884023,2.27839849,-0.012387987,1.372598472,-0.130709354,1.525887581,1.081282268,1.287845909,0.383349212,18.3078705,-15.72672495,16.96117143,-17.07342402,16.32933257,-17.70526287,16.04007759,-17.99451786,17.22298119,-16.81161426,16.63004623,-17.40454921,16.25710693,-17.77748851,5.249313256,13.12328314,2.5,0.592934951,0.965874251,9.234474086,22.48269993,38.9,1.2631,0.6902,0.2721,0.1399
8613_12705,S,E,E,1-176803,0.441268719,11.97991989,0.35327818,-0.177321674,0.273675141,,-0.03716318,-2.035161546,-0.182097709,0.393077996,-0.120523814,0.653181433,9.545564934,0.667053184,9.746069821,0.406266299,0.621872014,0.401092058,0.165954848,,24.63311886,-0.045455446,-0.383519054,,-0.15953114,-0.27269732,-0.105774225,2.889717652,-0.058486551,0.109376592,-0.84884264,0.047554268,-0.27269732,-0.139595576,3.011314444,,2.135051491,2.005053094,,,281.3040068,356.0753374,596.1615219,801.1234893,0.24096624,0.956331814,308.2244369,101.9913914,243.6595093,317.1763952,11.18871311,5.933490715,9.882019086,3.665083294,5.529906383,34.26060985,10.35183068,,,0.274150968,0.515072866,0.0992977,11.99533835,-0.00250721,0.011156813,-0.001036325,0.007820864,-0.010121943,0.027050458,0.020694368,-0.047055765,0.028031192,-0.056158213,0.029989296,-0.060111898,-0.032985084,0.077391163,-0.03083727,0.071470007,-0.030885669,0.070995196,-0.027583975,0.063637031,0.154251282,-0.320015693,0.137108507,-0.282306163,-0.02872369,0.069701856,0.006728531,-0.016991626,-0.007915271,0.022585355,-0.009893198,0.026277649,-0.044004515,0.090737087,-0.038878402,0.080213456,-0.043420442,0.08932045,-0.044640769,0.088487725,-0.050789803,0.102164084,0.003607568,-0.005135123,-0.010396217,0.020075516,-0.005989224,0.019355854,-0.006722494,0.023465394,-0.0140224,0.028190478,-0.009587958,0.020993241,-0.009553142,0.022566484,-0.018813265,0.016486288,-0.035090884,0.049133976,-0.009088944,0.01602148,0.011650793,-0.042342678,3.085157963,0.065924326,0.750492056,-2.964142861,1.862160545,-0.826264318,2.109963601,0.63173026,1.451793501,0.464910441,0.77109712,1.598867544,1.641382307,0.208050099,0.617971091,-3.174561658,-0.369763438,-1.484748904,17.25769396,-21.00558485,15.72966422,-22.5336146,15.13343375,-23.12984507,14.74931894,-23.51395987,16.00027402,-22.2630048,15.40299558,-22.86028324,15.04076217,-23.22251665,20.72805747,22.88162189,1.103896104,0.597278443,0.959511852,11.51091208,19.11842976,38.9,1.533,0.8082,0.4289,0.2635
8546_1901,E,S,S,1-91925,-2.863673399,10.76953667,-1.641519422,,,,,-0.050007063,-0.02892273,-0.104059479,0.015397576,-0.13461429,9.830503455,0.06489459,9.951054608,0.055382122,0.153839494,-2.88070653,-3.201788559,,161.0966303,,-0.160359606,,0.228125017,,-0.396807841,3.023154786,-0.766110271,-0.160359606,-0.390286622,0.228125017,-0.639844784,-0.214885772,3.047136583,3.105217008,2.886729307,2.280811578,,,0.0,0.0,0.0,0.0,-1.85270509,-1.384169867,0.0,182.1167603,0.0,169.2046236,10.17438705,8.048238896,12.41119821,0.0,1.867088804,2.099990652,10.17108909,,,0.089541793,0.433334694,0.0447536,10.54266766,0.026470627,-0.036241158,0.026679717,-0.038419723,0.02518969,-0.035681638,-0.008726514,0.016261303,-0.002729186,0.007373787,-0.003452137,0.009059375,-0.001516676,-0.001511865,-0.003046831,0.000199057,-0.002631174,-0.000574888,-0.002232002,-0.001623704,-0.003529748,0.002996585,-0.017468135,0.02851532,0.018187437,-0.021227029,-0.004661773,0.005351688,0.008960187,-0.0102993,0.011613627,-0.014462761,0.007715673,-0.013514773,0.005676578,-0.011111658,-0.007211051,0.003286133,-0.016525284,0.024837104,-0.01616667,0.032288823,-0.007582366,0.009729871,0.000664356,-0.001355677,0.011566079,-0.011351718,0.006908904,-0.005332242,0.010053431,-0.020733157,0.005502351,-0.006840959,0.000114858,-0.00213094,-0.005391277,-0.005335971,-0.010504192,0.016309078,-0.061590556,0.017898101,-0.207012223,0.111405851,2.978391951,0.326046754,-2.101536064,0.173843769,1.308971181,-0.0887827,4.317840156,-0.346816193,3.126674288,-0.083727392,2.868317335,-0.141224639,1.857501996,-0.026305106,-2.017884939,0.248516482,-2.623116918,0.686392414,18.33326241,-18.1355022,16.52212143,-19.94664318,15.88617391,-20.5825907,15.49072614,-20.97803847,16.85595402,-19.61281059,16.15824915,-20.31051546,15.78423771,-20.6845269,3.230346619,7.896402847,2.444444444,0.697704868,1.071716309,10.60864945,22.02676493,22.03709587,1.5797,0.773,0.3762,0.2747
