plateifu,log(N/Ha),log(O/Hb),EW(Ha),KL_Calc,comparison,Classification
10001-12701,-0.560831661,-0.032561326,9.668568134,,,
10001-12704,-0.389115088,-0.3373577,18.1302104,0.47996707365474645,lower,SFG
10001-12705,-0.454192677,-0.643360471,12.08104587,0.5299644736635366,lower,SFG
10001-1901,-0.296846683,-0.37863839,7.70839572,0.3945346044745166,lower,SFG
10001-3702,-0.350386221,-0.564733019,90.59004211,0.4464477749803649,lower,SFG
10001-3703,-0.323708278,0.138772155,13.61896586,0.42145566588131256,lower,SFG
10001-6102,-0.078364806,0.514925715,48.88847446,0.07760184219408117,higher,AGN
10001-9101,-0.540063933,-0.16473547,18.41508675,0.5860778322336156,lower,SFG
10141-12701,-0.358571757,-0.897575158,3872.768005,0.453793395265342,lower,SFG
10141-12702,-0.489945161,-0.558892208,31.05068334,0.5545470337445662,lower,SFG
10141-12703,-0.410695999,-0.276984798,32.75499511,0.4973659915650417,lower,SFG
10141-12704,-0.037241066,-0.61443873,20.93360583,-0.012584019488674603,lower,SFG
10141-12705,-0.32321185,-1.140544927,11.17187723,0.4209746759330436,lower,SFG
10141-9101,-0.490759,-0.746220988,18.50533104,0.555085312757934,lower,SFG
10141-9102,0.218711491,-0.792293197,9.412748337,-1.2374886361795396,higher,AGN
10142-12701,-0.127940139,0.231783315,141.1631432,0.1698309894027703,higher,AGN
10142-12702,-0.243393973,-0.878649697,53.08060074,0.33493250141321274,lower,SFG
10142-12703,-0.585390603,-1.096347642,402.4755554,0.6120149409459921,lower,SFG
10142-12704,-0.598859448,-0.910683656,23.37222719,0.6192982102170649,lower,SFG
10142-12705,-0.134536104,-0.752929262,17.86821818,0.18096183674747057,lower,SFG
10142-9101,-0.21720803,-0.034020766,59.78502909,0.3023503024258898,lower,SFG
10142-9102,-0.41083931,0.440245868,7.220242023,0.497478681894885,lower,SFG
10143-12701,-0.024000262,0.000427859,89.3913641,-0.04481715886215465,higher,AGN
10143-12702,-0.452921289,-0.911602506,33.50818014,0.5290552290098923,lower,SFG
10143-12703,-0.559559823,-0.543179367,116.4742813,0.5975137875693892,lower,SFG
10143-12704,-0.471551367,-0.438773075,113.1237717,0.5421330631767857,lower,SFG
10143-12705,-0.370592492,-0.872678106,99.3607682,0.4643213794966895,lower,SFG
10143-9101,-0.327403281,-0.721343044,34.92684301,0.4250169424497263,lower,SFG
10144-12701,-0.306453535,0.320903685,34.86252308,0.40437668514188674,lower,SFG
10144-12702,-0.557567741,0.000490603,48.97634888,0.5963651712086979,lower,SFG
10144-12703,-0.587922925,-1.369275706,48.81697083,0.6133984484266658,lower,SFG
10144-12704,-0.664135054,0.109513593,69.82546743,0.6521451846950848,lower,SFG
