plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,log(N/Ha),log(O/Hb),KL log(O/Hb),gz2_class
10001-12701,40.01057148,43.12569237,46.2532053,168.2571373,9.668568134,-0.560831661,-0.032561326,0.598244796,E
10001-12702,4.152588934,6.406726539,8.001792669,15.58833838,1.429980457,-0.28961253,-0.188317245,0.386959008,E
10001-12703,9.076808691,20.21638584,39.58503246,99.23082733,5.222799778,-0.399115607,-0.347770336,0.4881371,S
10001-12704,11.44009852,24.87639618,59.20520973,145.0357323,18.1302104,-0.389115088,-0.3373577,0.479967074,S
10001-12705,11.90956759,52.39097309,82.34702682,234.3368568,12.08104587,-0.454192677,-0.643360471,0.529964474,S
10001-1902,12.35959117,10.90067609,4.387077173,8.919989586,0.71267873,-0.308189073,0.05455067,0.406128803,E
10001-3701,2.454540014,3.069607973,3.231330474,3.006621043,0.274224937,0.031302684,-0.097112798,-0.200480355,E
10001-3702,102.8169479,377.3963776,669.5938568,1500.367615,90.59004211,-0.350386221,-0.564733019,0.446447775,E
10001-3703,78.17225838,56.79112911,111.951189,235.9049149,13.61896586,-0.323708278,0.138772155,0.421455666,E
10001-3704,32.23724556,14.65302432,62.93426323,36.31781483,2.22981149,0.238767442,0.342430657,-1.448036815,E
10001-6101,5.327970624,7.431020677,11.53818774,8.034838915,0.854942665,0.157160427,-0.144486648,-0.759881193,E
10001-6102,547.4260864,167.2629585,636.7818756,762.7030792,48.88847446,-0.078364806,0.514925715,0.077601842,S
10001-6103,26.94125652,16.14609647,11.35670042,18.59165692,1.079094991,-0.214065927,0.222350304,0.298273083,S
10001-6104,46.58654976,15.80745387,79.05558968,54.9634304,3.228222847,0.157858752,0.469398624,-0.764243485,E
10001-9101,58.38530064,85.31767082,87.22965431,302.5018845,18.41508675,-0.540063933,-0.16473547,0.586077832,S
10001-9102,16.28327131,7.33269608,30.47479868,20.00876522,1.115059614,0.182720557,0.346477974,-0.933368082,S
10213-12701,5.606835723,6.205177486,9.364943743,8.109028816,0.817785963,0.062536329,-0.044036376,-0.30706598,E
10213-12702,13.39039922,20.36841965,18.57472992,65.79349709,4.316710055,-0.549260463,-0.182163809,0.59152687,E
10213-12704,7.85558033,8.897200763,16.74303412,11.52974391,1.087745726,0.162014501,-0.054075116,-0.790612731,E
10213-12705,26.57100964,78.58808899,171.4897575,396.5163727,24.7701025,-0.364022938,-0.470948671,0.458605248,S
10213-1901,84.85615349,49.86257982,90.72178459,74.69820023,5.430150747,0.084401447,0.230908597,-0.391956142,E
10213-1902,13.98815036,51.45655632,78.50826454,222.4892845,15.46608901,-0.452393722,-0.565680426,0.528677199,S
10213-3701,16.46995378,14.40354633,65.7432766,83.92904663,5.016779423,-0.106060945,0.058222946,0.131084263,E
10213-3703,16.94272232,24.99366379,27.16157961,75.57944298,32.40696621,-0.444448664,-0.16884673,0.522931389,S
10213-6101,3.96131736,2.335769057,2.764557779,8.783409119,0.948100507,-0.502037441,0.229409736,0.562452156,E
10213-6102,11.28663635,14.98070133,24.64324617,33.43661451,2.1816746,-0.132524383,-0.122967613,0.177592839,E
10213-6103,38.57296371,17.10510552,48.03801441,40.27578545,2.608066797,0.076541029,0.353157251,-0.360352249,S
10213-6104,15.99575973,8.744966507,21.58329725,10.08243012,0.88690339,0.330552571,0.262246721,-3.184408372,E
10213-9101,30.3463397,56.75425053,147.0279465,280.9889679,23.16591787,-0.281289378,-0.271892078,0.378062525,S
10214-12701,7.437422395,12.3747375,21.9916544,49.36563683,2.986726701,-0.351166842,-0.221113548,0.447154614,S
10214-12703,74.68219566,35.05850887,162.447773,108.6216373,6.736116886,0.174797417,0.328423637,-0.876377583,S
10214-12704,4.244968891,11.44773134,-0.283818687,1.573464831,0.397751302,-0.743816054,-0.430844917,0.687452684,E
10214-1901,19.84820843,11.47978783,31.56438065,22.61163187,1.471299201,0.144865366,0.23778745,-0.686145866,S
10214-1902,37.1186018,64.26574707,212.5654526,280.9692383,18.00086021,-0.121166092,-0.238387952,0.158141089,E
10214-3702,44.52604103,30.91839361,137.280323,108.8225689,6.648541927,0.100889319,0.15839716,-0.462620829,E
10214-3703,5.07364291,11.85802376,3.350165427,9.352463245,0.758269057,-0.445859758,-0.368692419,0.523959163,E
10214-3704,14.50768924,11.69718748,19.60995102,18.85415125,1.2287184,0.017069522,0.093516793,-0.156785058,E
10214-6101,165.0967026,118.3618298,79.4492569,384.6604538,22.04045248,-0.6849877,0.144526729,0.661855848,E
10214-6102,1.869541367,5.757918517,-1.730971416,2.130318483,0.409475585,-0.090154639,-0.488530436,0.101014999,E
10214-6103,16.26743555,21.39659214,20.48633337,66.29811096,8.801813126,-0.510036919,-0.119025513,0.567574468,S
10214-6104,8.636906624,16.38792586,19.38295221,56.34310913,4.260191917,-0.463420884,-0.278165766,0.536489873,S
10214-9101,7.819705168,13.33130201,3.547299306,5.791616917,0.762104909,-0.212901994,-0.231682188,0.296753231,E
10214-9102,7.934250712,1.041362807,11.4396503,4.064557791,0.937627748,0.449399446,0.881903857,-28.42085376,S
10215-12701,19.74593449,16.8075881,44.52706528,63.51529503,3.493065655,-0.154254247,0.069972295,0.212834042,S
10215-12702,7.143701315,28.52032614,34.3535862,112.2817421,10.09186029,-0.514337062,-0.601231199,0.570293577,S
10215-12703,32.73849201,32.28308916,27.00597382,100.3962193,21.7072072,-0.570257516,0.006083586,0.603606736,S
10215-12704,41.67984962,22.33083224,49.64623737,63.19678688,16.61045408,-0.104808659,0.271021234,0.128777294,S
10215-12705,5.809395671,11.8264308,23.59903812,45.8794384,3.408590615,-0.288723791,-0.308722738,0.386018357,S
10215-1901,21.02876186,63.21726894,87.99266434,208.7163658,12.76073456,-0.375110036,-0.478022027,0.468200502,E
10215-1902,65.28850555,35.05067921,104.3449116,112.8888054,7.275368333,-0.034179602,0.27014029,-0.019886314,E
10215-3701,34.55694771,53.3217783,44.49100113,156.356308,27.20065165,-0.545843229,-0.188369249,0.589513643,E
10215-3703,48.73925591,28.42287016,120.3372669,120.6540222,6.649216056,-0.001141661,0.234210963,-0.104727363,E
10215-3704,24.86667252,76.99921227,151.5840149,310.6598053,21.47836065,-0.31163166,-0.490868607,0.409581254,S
10215-6101,21.60096407,22.76720333,38.91056252,85.98879814,41.03704739,-0.34437437,-0.022836552,0.440958745,S
10215-6103,49.8900795,210.233654,296.851593,843.1239014,57.18999004,-0.453352017,-0.624688043,0.529363549,E
10215-6104,45.11606121,104.3815079,188.2953911,489.47995,40.37941837,-0.414895217,-0.364292389,0.500652845,S
10215-9101,7.338057995,15.89240432,25.52316523,64.47012806,4.127608418,-0.402424001,-0.335608466,0.490798695,E
10215-9102,16.86320114,12.49137521,85.37312889,85.52109718,5.648170352,-0.000752066,0.130329767,-0.105798882,S
10220-12701,19.10343885,41.42164898,106.3914165,229.5689507,12.86973572,-0.334006558,-0.336115831,0.431299721,S
10220-12702,16.76827812,17.88654375,75.84799004,94.01605797,14.27024388,-0.093257961,-0.028037961,0.107014863,S
10220-12703,25.9329567,30.42286301,20.88317156,94.90542603,29.88371944,-0.657494587,-0.069348047,0.648977447,S
10220-12704,37.2421608,114.2809429,177.1604729,485.9936905,29.07119799,-0.4382638,-0.486938944,0.518388955,E
10220-12705,9.091188669,15.36334205,30.21042776,70.19477844,11.17069697,-0.366147933,-0.227865029,0.460464022,S
10220-1901,48.09237289,30.47887373,40.34401417,64.82944298,3.7144714,-0.205993182,0.198077291,0.287624036,E
10220-1902,16.44757056,8.498699427,31.56340599,22.05676651,1.428598076,0.155642016,0.286749288,-0.750462882,E
10220-3701,73.5535965,89.43957901,132.3479881,438.0659943,27.95603752,-0.519822198,-0.084925833,0.573727702,E
10220-3702,20.58049107,15.96866345,52.76294804,56.98225498,3.731704712,-0.033410579,0.110187165,-0.021734568,E
10220-3703,68.67355919,6.26730758,135.5606499,72.34861374,4.10605967,0.272703428,1.039708547,-1.901792189,E
10220-3704,25.09885597,14.26546466,29.36710691,28.44225311,1.804730058,0.013897167,0.245368004,-0.147417697,E
10220-6101,7.138975501,13.44097233,32.14159918,37.96238899,2.488238215,-0.072286054,-0.274794795,0.065132422,E
10220-6102,14.7276051,7.973216593,68.27552223,54.27779675,3.333470166,0.09964282,0.266498569,-0.45705866,E
10220-6104,17.71451139,32.83891678,106.4979897,236.3574409,13.65192509,-0.346227869,-0.268059645,0.442659677,S
10220-9101,125.9962807,30.25308084,115.2561359,93.86432076,5.790974617,0.089163514,0.619588117,-0.411737286,S
10220-9102,193.4937935,120.5802593,62.07228756,386.8310242,29.81471395,-0.794623547,0.205390826,0.707643016,S
10492-12701,39.18738651,26.49633741,128.1187134,105.564764,11.3945775,0.084093587,0.169960455,-0.390694127,S
10492-12702,326.6535263,97.10350037,322.3075867,378.8000107,23.65356588,-0.070139454,0.526852465,0.06066202,S
10492-12704,16.05352449,41.11692524,76.17865181,175.9164543,11.8204813,-0.363473181,-0.408450235,0.458122821,S
10492-1902,30.89377403,14.46097863,57.51062584,47.64824677,2.71043855,0.081701168,0.329673281,-0.380955023,S
10492-3701,5.837266127,5.073351065,1.424690922,1.968494892,0.5208082,-0.140413635,0.060914578,0.190677631,E
10492-3703,2.992006242,3.833851933,8.534858942,21.06468868,1.213073581,-0.392358697,-0.107672841,0.482637737,E
10492-3704,18.32087231,15.08303523,54.34254932,60.48864174,3.475409329,-0.046533824,0.084457402,0.0090512,E
10492-6101,18.26559639,11.30208278,17.95386982,26.81160069,1.579671711,-0.174164671,0.208475373,0.243037169,E
10492-6102,92.27535629,38.71585178,194.8869591,127.9011364,7.053229332,0.182908376,0.377196912,-0.934757216,S
10492-6103,1217.533508,209.9460716,1370.062408,1508.599884,89.34944916,-0.04183372,0.76337317,-0.001793304,S
10492-6104,40.53432941,24.8906486,93.15648079,117.194603,6.97371161,-0.099694538,0.211786779,0.11925075,E
10492-9102,108.0297966,33.15327501,101.7028599,104.3611259,19.18353224,-0.011205591,0.513017122,-0.077649445,S
10493-12701,30.42349625,66.77713394,161.4089432,344.8694534,23.59894037,-0.329727135,-0.341418654,0.427239837,S
10493-12702,20.85755491,31.71619368,38.67951679,128.9971962,8.911814451,-0.523099231,-0.182017666,0.57576128,S
10493-12703,5.755010217,10.20554799,7.258428693,32.02472353,3.64280051,-0.644642775,-0.24879023,0.642739466,E
10493-12705,15.80177975,18.20873117,17.75510645,67.12913513,4.944128156,-0.577587772,-0.06157368,0.607709889,S
10493-1901,33.89474821,16.50690949,21.54401064,26.03576279,1.630482823,-0.082243751,0.312466642,0.085415297,E
10493-1902,347.8328018,302.2318268,364.8088608,1005.945511,72.85024834,-0.440509079,0.061030339,0.520045121,E
10493-3701,7.192898512,38.87950897,59.95335865,173.4708023,13.7687068,-0.461412869,-0.732816839,0.535080984,S
10493-3703,4.02659297,4.5889467,8.652839184,10.85237741,0.638575673,-0.098366257,-0.056775283,0.11674839,E
10493-3704,950.4485931,122.6402225,461.9428177,639.4400787,41.42684174,-0.141211634,0.889295702,0.191982348,E
10493-6101,10.34098768,-0.271356553,9.085166693,3.629552022,0.392411999,0.398479875,1.581021707,-7.339067822,S
10493-6102,26.64089298,4.141557336,9.187961102,14.82413244,1.048964679,-0.207750139,0.8083851,0.289963297,E
10493-6103,5.842459202,7.91720283,11.25746989,7.56863904,0.586311474,0.172423001,-0.131976083,-0.859889612,S
10493-6104,22.28071594,13.07028675,88.72576904,58.85716915,3.853196859,0.178250402,0.231644026,-0.900834074,S
10493-9102,52.42932606,41.7311821,25.56510925,127.9501801,9.065157175,-0.699393248,0.099113588,0.668361962,S
10494-12702,19.48512173,12.64650655,41.75487804,18.89966464,1.339307994,0.344253122,0.18773255,-3.66101505,E
10494-12704,33.56057072,23.78205943,60.87918472,51.77871227,3.334027767,0.070317582,0.149579878,-0.336211745,S
10494-12705,7.743765831,4.704545259,13.02836275,14.46476793,5.772098064,-0.045421628,0.216434561,0.006502904,S
10494-1902,17.24989446,19.1920592,7.189001083,13.20589892,2.917992274,-0.26409942,-0.046335132,0.359049881,E
10494-3701,48.80434704,97.93932343,199.4023781,421.3868942,50.00447941,-0.324950691,-0.302498593,0.422656809,S
10494-3703,17.95302129,6.504574537,6.709634662,13.62791777,1.525721908,-0.307730631,0.440918651,0.405666741,E
10494-3704,47.9390316,100.316288,116.651001,401.6564789,26.64926624,-0.536966307,-0.320682197,0.584220049,S
